new_es_symbol,es_symbol,es_name,stage,qa_approved
F002XN906WA,F002XN906WA,western hemlock-western redcedar/red huckleberry-salal/western swordfern ,Provisional,yes
F003XN920WA,F003XN920WA,Frigid Riparian Forest ,Provisional,yes
F003XN921WA,F003XN921WA,Frigid/Udic Coniferous ,Provisional,yes
F003XN922WA,F003XN922WA,Frigid/Udic Active Natural Disturbance ,Provisional,yes
F003XN923WA,F003XN923WA,Cryic/Xeric Coniferous ,Provisional,yes
F003XN924WA,F003XN924WA,Low Cryic/Udic West Coniferous ,Provisional,yes
F003XN925WA,F003XN925WA,High Cryic/Udic Coniferous ,Provisional,yes
F003XN926WA,F003XN926WA,Cryic/Udic Active Natural Disturbance ,Provisional,yes
F003XN927WA,F003XN927WA,Frigid/Xeric Coniferous ,Provisional,yes
F003XN928WA,F003XN928WA,Frigid/Xeric Active Natural Disturbance ,Provisional,yes
F003XN929WA,F003XN929WA,Low Cryic/Udic East Coniferous ,Provisional,yes
F003XY700OR,F003XY700OR,High Cascades Tree Line ,Provisional,yes
F003XY701OR,F003XY701OR,High Cascades Wet,Provisional,yes
F003XY702OR,F003XY702OR,"High Cascades Dry,South slopes",Provisional,yes
F003XY703OR,F003XY703OR,South Cascades - ,Provisional,yes
F003XY704OR,F003XY704OR,Southern Cascades Mid-Elevation Dry,Provisional,yes
F003XY705OR,F003XY705OR,High Cascades Dry ,Provisional,yes
F003XY706OR,F003XY706OR,High Cascades Moist ,Provisional,yes
F003XY707OR,F003XY707OR,HC High Pumice Basin ,Provisional,yes
F003XY708OR,F003XY708OR,Abies ×shastensis-Pinus monticola/Arctostaphylos nevadensis ,Provisional,yes
F003XY709OR,F003XY709OR,Pseudotsuga menziesii/Vaccinium membranaceum/Chimaphila umbellata ,Provisional,yes
F004BX101CA,F004BX101CA,"Redwood/Douglas-fir/Pacific rhododendron, mountain slopes,schist, clay loam",Provisional,yes
F004BX102CA,F004BX102CA,"Douglas-fir-redwood/tanoak, mountain slopes,sandstone, clay loam",Provisional,yes
F004BX103CA,F004BX103CA,"Redwood-Douglas-fir/Pacific rhododendron, mountain slopes,sandstone, clay loam",Provisional,yes
F004BX104CA,F004BX104CA,"Redwood-Douglas-fir/Pacific rhododendron, ridge-tops,schist, red clay",Provisional,yes
F004BX105CA,F004BX105CA,"Douglas-fir/tanoak/California huckleberry, ridge-tops,schist, red clay",Provisional,yes
F004BX106CA,F004BX106CA,"Redwood/Douglas-fir/California huckleberry/western swordfern, hills,soft sandstone, very gravelly loam",Provisional,yes
F004BX107CA,F004BX107CA,"Redwood/western swordfern, hills,soft sandstone, clay loam",Provisional,yes
F004BX108CA,F004BX108CA,"Redwood, western swordfern, mountain slopes,sandstone and schist, clay loam",Provisional,yes
F004BX109CA,F004BX109CA,"Douglas-fir/redwood/tanoak/California huckleberry, mountain slopes,sandstone and schist, clay loam",Provisional,yes
F004BX110CA,F004BX110CA,"Sitka spruce-red alder/salmonberry/western swordfern, hills,sandstone and mudstone, clay loam",Provisional,yes
F004BX111CA,F004BX111CA,"Redwood/western swordfern-redwood sorrel, floodplains and terraces,loam",Provisional,yes
F004BX113CA,F004BX113CA,"Douglas-fir/giant chinquapin/California huckleberry, ridgetops,soft sandstone, clay loam",Provisional,yes
F004BX116CA,F004BX116CA,"Sitka spruce-shore pine/California huckleberry, foredunes,mixed eolian sands, sand",Provisional,yes
F004BX117CA,F004BX117CA,"Redwood-shore pine/California huckleberry-western Labrador tea/rush, marine terraces,silty eolian deposits over marine deposits, silt loam",Provisional,yes
F004BX118CA,F004BX118CA,"Sitka spruce-redwood/salal/western brackenfern, marine terraces,marine deposits, fine sandy loam",Provisional,yes
F004BX119CA,F004BX119CA,"Redwood-Douglas-fir/California huckleberry/western swordfern, marine terraces,silty eolian deposits over marine deposits, loam",Provisional,yes
F004BX120CA,F004BX120CA,"Redwood-Sitka spruce/California huckleberry-salmonberry/western swordfern-deer fern, marine terraces,loam",Provisional,yes
F004BX121CA,F004BX121CA,"Redwood-Sitka spruce/salal-California huckleberry/western swordfern, marine terraces,marine deposits, sandy loam and loam",Provisional,yes
F004BX122CA,F004BX122CA,"Redwood/western swordfern, mountain slopes and earthflows,schist, gravelly loam",Provisional,yes
F004BX123CA,F004BX123CA,"Douglas-fir-tanoak/tanoak, upper mountain slopes,clay loam",Provisional,yes
F004BX124CA,F004BX124CA,"Redwood-Douglas-fir/California huckleberry-salal, marine terrace,silty eolian deposits over marine deposits, loam",Provisional,yes
F005XB101CA,F005XB101CA,"Douglas-fir/tanoak, mountain slopes,sandstone and mudstone, clay loam",Provisional,yes
F005XY700OR,F005XY700OR,Southern Cascades - ,Provisional,yes
F006XY700OR,F006XY700OR,East Cascades - ,Provisional,yes
F006XY701OR,F006XY701OR,East Cascades- ,Provisional,yes
F006XY702OR,F006XY702OR,East Cascades-Pumice Drainages ,Provisional,yes
F006XY703OR,F006XY703OR,Pinus ponderosa/Symphoricarpos mollis/Carex inops ,Provisional,yes
F006XY704OR,F006XY704OR,East Cascades - Pumice Basin ,Provisional,yes
